Name,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation,,,Score,Consistency,Metabolite Annotation,Reaction Annotation,Gene Annotation,SBO annotation
83558.19,84,94.97,54.54,55.3,40,90.91,,,,,,,,
84112.3,84,95.25,54.54,55.39,40,90.91,,,,,,,,
85698.5,84,93.05,54.54,55.46,40,90.91,,,,,,,,
85962.8,85,96.19,54.54,55.35,40,90.91,,,,,,,,
85963.7,85,96.06,54.54,55.43,40,90.91,,,,,,,,
102611.3,85,96.04,54.54,55.34,40,90.91,,,,,,,,
102618.7,85,96.35,54.54,55.34,40,90.91,,,,,,,,
103855.15,84,92.95,54.54,55.46,40,90.91,,,,,,,,
106648.24,84,92.9,54.54,55.45,40,90.91,,,,,,,,
106654.48,84,93.69,54.54,55.44,40,90.91,,,,,,,,
110505.9,84,93.1,54.54,55.45,40,90.91,,,,,,,,
115711.1,84,95.15,54.54,55.3,40,90.91,,,,,,,,
119602.564,83,91.66,54.54,55.38,40,90.91,,,,,,,,
119856.8,84,93.76,54.54,55.42,40,90.91,,,,,,,,
119857.297,84,93.68,54.54,55.41,40,90.91,,,,,,,,
120959.23,83,92.35,54.54,55.46,40,90.91,,,,,,,,
123899.23,83,92,54.54,55.46,40,90.91,,,,,,,,
126385.6,84,93.05,54.54,55.45,40,90.91,,,,,,,,
131111.13,84,93.78,54.54,55.37,40,90.91,,,,,,,,
135487.8,83,90.46,54.54,55.46,40,90.91,,,,,,,,
128677.3,84,94.97,54.54,55.3,40,90.91,,,,,,,,
143387.63,84,94.54,54.54,55.36,40,90.91,,,,,,,,
148942.549,84,93.14,54.54,55.36,40,90.91,,,,,,,,
149539.896,83,91.14,54.54,55.46,40,90.91,,,,,,,,
150053.3,83,92.53,54.54,55.45,40,90.91,,,,,,,,
152500.5,83,92.13,54.54,55.46,40,90.91,,,,,,,,
155322.253,83,92.59,54.54,55.45,40,90.91,,,,,,,,
155615.5,84,95.21,54.54,55.35,40,90.91,,,,,,,,
155864.21,83,91.92,54.54,55.46,40,90.91,,,,,,,,
158836.977,83,92.5,54.54,55.46,40,90.91,,,,,,,,
158879.11,84,93.33,54.54,55.41,40,90.91,,,,,,,,
160490.1,84,93.63,54.54,55.37,40,90.91,,,,,,,,
160491.19,84,93.61,54.54,55.37,40,90.91,,,,,,,,
168807.7,83,91.91,54.54,55.45,40,90.91,,,,,,,,
170187.11,83,92.6,54.54,55.37,40,90.91,,,,,,,,
176279.91,84,93.7,54.54,55.41,40,90.91,,,,,,,,
177416.18,84,93.38,54.54,55.41,40,90.91,,,,,,,,
180434.86,83,91.68,54.54,55.44,40,90.91,,,,,,,,
182082.4,84,95.01,54.54,55.33,40,90.91,,,,,,,,
183192.3,83,91.78,54.54,55.46,40,90.91,,,,,,,,
185332.6,83,91.39,54.54,55.44,40,90.91,,,,,,,,
189518.3,84,94.15,54.54,55.43,40,90.91,,,,,,,,
192222.6,84,94.96,54.54,55.37,40,90.91,,,,,,,,
193567.3,84,93.02,54.54,55.37,40,90.91,,,,,,,,
196620.5,84,93.43,54.54,55.42,40,90.91,,,,,,,,
198214.7,83,92.11,54.54,55.45,40,90.91,,,,,,,,
199310.4,83,92.03,54.54,55.46,40,90.91,,,,,,,,
2032275.8,84,94.36,54.54,55.39,40,90.91,,,,,,,,
205920.11,85,97.17,54.54,55.27,40,90.91,,,,,,,,
208224.79,83,92.29,54.54,55.46,40,90.91,,,,,,,,
208962.68,83,92.32,54.54,55.45,40,90.91,,,,,,,,
208963.12,83,92.07,54.54,55.47,40,90.91,,,,,,,,
210007.7,84,93.38,54.54,55.38,40,90.91,,,,,,,,
211110.3,84,94.15,54.54,55.38,40,90.91,,,,,,,,
211880.31,84,93.68,54.54,55.43,40,90.91,,,,,,,,
212042.8,85,95.34,54.54,55.29,40,90.91,,,,,,,,
214092.21,83,91.41,54.54,55.44,40,90.91,,,,,,,,
216592.36,83,91.88,54.54,55.46,40,90.91,,,,,,,,
216594.6,84,92.98,54.54,55.46,40,90.91,,,,,,,,
218496.4,84,95.33,54.54,55.3,40,90.91,,,,,,,,
220341.7,83,91.24,54.54,55.45,40,90.91,,,,,,,,
222805.8,83,91.42,54.54,55.45,40,90.91,,,,,,,,
224914.11,83,92.24,54.54,55.45,40,90.91,,,,,,,,
226185.9,84,93.91,54.54,55.41,40,90.91,,,,,,,,
242231.1,84,94.33,54.54,55.4,40,90.91,,,,,,,,
242619.8,85,95.65,54.54,55.36,40,90.91,,,,,,,,
143160.12,83,92.71,54.54,55.47,40,90.91,,,,,,,,
243243.7,83,91.75,54.54,55.45,40,90.91,,,,,,,,
243273.25,84,95.26,54.54,55.17,40,90.91,,,,,,,,
243276.9,85,96.11,54.54,55.24,40,90.91,,,,,,,,
244319.35,83,92.07,54.54,55.46,40,90.91,,,,,,,,
244366.656,83,90.33,54.54,55.48,40,90.91,,,,,,,,
247156.8,83,92.05,54.54,55.46,40,90.91,,,,,,,,
257309.4,85,95.66,54.54,55.4,40,90.91,,,,,,,,
257311.4,84,93.1,54.54,55.46,40,90.91,,,,,,,,
257313.5,84,92.95,54.54,55.45,40,90.91,,,,,,,,
262727.7,84,93.57,54.54,55.39,40,90.91,,,,,,,,
262728.6,84,93.54,54.54,55.39,40,90.91,,,,,,,,
265669.9,84,93.87,54.54,55.42,40,90.91,,,,,,,,
267671.5,84,94.28,54.54,55.43,40,90.91,,,,,,,,
267747.3,83,90.96,54.54,55.41,40,90.91,,,,,,,,
269801.1,83,92.57,54.54,55.45,40,90.91,,,,,,,,
272560.6,83,91.6,54.54,55.47,40,90.91,,,,,,,,
272563.12,84,93.31,54.54,55.42,40,90.91,,,,,,,,
272620.9,83,91.26,54.54,55.47,40,90.91,,,,,,,,
272634.6,85,96.94,54.54,55.21,40,90.91,,,,,,,,
272831.7,84,94.03,54.54,55.4,40,90.91,,,,,,,,
272944.4,85,97.95,54.54,55.3,40,90.91,,,,,,,,
272947.5,85,97,54.54,55.28,40,90.91,,,,,,,,
273121.8,84,95.01,54.54,55.37,40,90.91,,,,,,,,
273123.1,83,91.25,54.54,55.44,40,90.91,,,,,,,,
279808.8,84,93.2,54.54,55.42,40,90.91,,,,,,,,
281310.6,84,95.01,54.54,55.39,40,90.91,,,,,,,,
283165.4,85,95.81,54.54,55.35,40,90.91,,,,,,,,
283166.5,84,95.36,54.54,55.36,40,90.91,,,,,,,,
283734.2283,84,93.26,54.54,55.41,40,90.91,,,,,,,,
286636.3,85,95.4,54.54,55.37,40,90.91,,,,,,,,
286783.345,83,91.79,54.54,55.46,40,90.91,,,,,,,,
290338.8,83,92.13,54.54,55.46,40,90.91,,,,,,,,
290847.5,85,97.12,54.54,55.34,40,90.91,,,,,,,,
295405.11,84,93.3,54.54,55.41,40,90.91,,,,,,,,
299766.91,84,93.02,54.54,55.46,40,90.91,,,,,,,,
299767.237,83,92.49,54.54,55.46,40,90.91,,,,,,,,
301102.37,83,91.28,54.54,55.45,40,90.91,,,,,,,,
306537.1,84,93.96,54.54,55.4,40,90.91,,,,,,,,
312175.13,84,93.49,54.54,55.43,40,90.91,,,,,,,,
314723.4,85,96.24,54.54,55.2,40,90.91,,,,,,,,
316435.63,83,91.49,54.54,55.46,40,90.91,,,,,,,,
219705.15,82,89.96,54.54,55.45,40,90.91,,,,,,,,
321314.9,83,91.56,54.54,55.46,40,90.91,,,,,,,,
331112.6,83,92.08,54.54,55.46,40,90.91,,,,,,,,
331271.8,83,91.83,54.54,55.48,40,90.91,,,,,,,,
333849.47,83,91.33,54.54,55.4,40,90.91,,,,,,,,
334413.6,84,94.75,54.54,55.34,40,90.91,,,,,,,,
336982.7,84,93.6,54.54,55.45,40,90.91,,,,,,,,
342451.11,84,93.51,54.54,55.42,40,90.91,,,,,,,,
342617.7,84,95.07,54.54,55.38,40,90.91,,,,,,,,
344609.11,83,91.51,54.54,55.45,40,90.91,,,,,,,,
345072.25,83,91.61,54.54,55.44,40,90.91,,,,,,,,
349747.9,83,91.4,54.54,55.44,40,90.91,,,,,,,,
355276.3,84,94.17,54.54,55.43,40,90.91,,,,,,,,
357244.4,85,97.88,54.54,55.24,40,90.91,,,,,,,,
357544.13,85,96.08,54.54,55.34,40,90.91,,,,,,,,
359786.13,84,93.04,54.54,55.41,40,90.91,,,,,,,,
359787.11,84,93.19,54.54,55.41,40,90.91,,,,,,,,
360102.15,83,91.62,54.54,55.44,40,90.91,,,,,,,,
360106.6,84,94.55,54.54,55.37,40,90.91,,,,,,,,
360115.5,84,93.7,54.54,55.4,40,90.91,,,,,,,,
360118.8,83,91.78,54.54,55.47,40,90.91,,,,,,,,
362663.9,83,92.02,54.54,55.45,40,90.91,,,,,,,,
364106.8,83,92.04,54.54,55.46,40,90.91,,,,,,,,
367737.6,85,97.09,54.54,55.4,40,90.91,,,,,,,,
373045.6,83,91.85,54.54,55.45,40,90.91,,,,,,,,
374923.7,83,91.89,54.54,55.45,40,90.91,,,,,,,,
374930.9,84,93.82,54.54,55.39,40,90.91,,,,,,,,
374931.1,84,93.64,54.54,55.39,40,90.91,,,,,,,,
376725.3,83,92.36,54.54,55.46,40,90.91,,,,,,,,
381754.6,83,92.72,54.54,55.47,40,90.91,,,,,,,,
392021.5,85,96.91,54.54,55.29,40,90.91,,,,,,,,
398577.6,83,91.55,54.54,55.47,40,90.91,,,,,,,,
400667.121,84,94.04,54.54,55.44,40,90.91,,,,,,,,
400673.7,84,93.24,54.54,55.44,40,90.91,,,,,,,,
405416.6,84,93.43,54.54,55.44,40,90.91,,,,,,,,
405532.5,83,90.35,54.54,55.45,40,90.91,,,,,,,,
405535.8,83,92.61,54.54,55.45,40,90.91,,,,,,,,
407148.6,85,95.53,54.54,55.37,40,90.91,,,,,,,,
409438.11,83,92.27,54.54,55.46,40,90.91,,,,,,,,
412418.11,85,96.71,54.54,55.23,40,90.91,,,,,,,,
412419.2,85,97.18,54.54,55.23,40,90.91,,,,,,,,
418136.12,84,94.08,54.54,55.41,40,90.91,,,,,,,,
419947.8,84,93.42,54.54,55.45,40,90.91,,,,,,,,
423212.4,84,93.38,54.54,55.44,40,90.91,,,,,,,,
424717.5,83,92.15,54.54,55.45,40,90.91,,,,,,,,
424720.8,83,92.13,54.54,55.45,40,90.91,,,,,,,,
426430.24,84,93.7,54.54,55.41,40,90.91,,,,,,,,
